faculty|title|authors|date|journal|volume|issue|pages|publisher|description
David Bermudes|Bacteria as tumour-targeting vectors|John M Pawelek, K Brooks Low, David Bermudes|2003/9/1||4|9|548-556|Elsevier|Live bacteria were first actively used in the treatment of cancer nearly 150 years ago, work that ultimately led to the study of immunomodulation. Today, with the discovery of bacterial strains that specifically target tumours, and aided by genomic sequencing and genetic engineering, there is new interest in the use of bacteria as tumour vectors. Bifodobacterium, Clostridium, and Salmonella have all been shown to preferentially replicate within solid tumours when injected from a distal site, and all three types of bacteria have been used to transport and amplify genes encoding factors such as prodrug-converting enzymes, toxins, angiogenesis inhibitors, and cytokines. In this review we provide a historical discussion of this area, and describe the development of the bacteria, which are currently being prepared for use in clinical trials in patients with cancer. 
David Bermudes|Biodistribution and Genetic Stability of the Novel Antitumor Agent VNP20009, a Genetically Modified Strain of Salmonella typhimuvium|C Clairmont, KC Lee, J Pike, M Ittensohn, KB Low, J Pawelek, D Bermudes, SM Brecher, D Margitich, J Turnier, Z Li, X Luo, I King, LM Zheng|2000/6/1|Journal of Infectious Diseases|181|6|1996-2002|The University of Chicago Press|VNP20009 is a genetically modified strain of Salmonella typhimurium possessing an excellent safety profile, including genetically stable attenuated virulence (a deletion in the purl gene), reduction of septic shock potential (a deletion in the msbB gene), and antibiotic susceptibility. VNP20009 is genetically stable after multiple generations in vitro and in vivo. In mice, VNP20009 is rapidly cleared from the blood from a peak level of 1 × 104 cfu/mL to undetectable levels in 24 h. In tumor-bearing mice, VNP20009 accumulates preferentially in tumors over livers at a ratio of 1000 : 1. In nonhuman primates, VNP20009 was also rapidly cleared from the blood, from a peak level of 1.0 × 106 cfu/mL to undetectable levels in 24 h. VNP20009 was detected in the liver, spleen, and bone marrow of monkeys; the amount decreased over time, and VNP20009 was cleared from all organs by day 41; no VNP20009 could be … 
David Bermudes|In vivo maintenance of synergistic cytarabine: daunorubicin ratios greatly enhances therapeutic efficacy|Paul Tardi, Sharon Johnstone, Natashia Harasym, Sherwin Xie, Troy Harasym, Natalia Zisman, Pierrot Harvie, David Bermudes, Lawrence Mayer|2009/1/1|Leukemia research|33|1|129-139|Pergamon|We demonstrate here that cytarabine and daunorubicin, a standard drug combination used in the treatment of leukaemia, exhibits drug ratio-dependent synergistic antitumor activity in vitro and in vivo. A cytarabine:daunorubicin molar ratio of 5:1 displayed the greatest degree of synergy and minimum antagonism in a panel of 15 tumor cell lines in vitro. Co-encapsulating cytarabine and daunorubicin inside liposomes maintained the synergistic drug ratio in plasma for 24 h post-injection. Liposome-encapsulated cytarabine:daunorubicin combinations exhibited drug ratio-dependent in vivo efficacy with the 5:1 molar drug ratio (designated CPX-351) having the greatest therapeutic index, despite using sub-MTD daunorubicin doses. CPX-351 exhibited superior therapeutic activity compared to free-drug cocktails, with high proportions of long-term survivors, consistent with in vivo synergy. The therapeutic advantage of … 
David Bermudes|Kinetics and pattern of organelle exocytosis duringToxoplasma gondii/host-cell interaction|Jean François Dubremetz, Abderrahim Achbarou, David Bermudes, Keith A Joiner|1993/5/1|Parasitology research|79|5|402-408|Springer-Verlag|The fate ofToxoplasma gondii dense-granule (GRA2, GRA3), rhoptry (ROP1), and surface (SAG1) proteins was followed by immunofluorescence assay (IFA) and immunoelectron microscopy at different stages after infection. Dense-granule exocytosis occurred in the apical area of the tachyzoite within minutes of invasion. Several exocytic events were found simultaneously in the same organism, both by serial sectioning and by freeze-fracture studies. Dense-granule contents were first found as a dense material trapped between parasite and vacuole membranes before either the vacuolar network or the vacuole membrane could be immunolabeled with specific antibodies. The vacuolar network was strongly labeled with dense-granule antibodies but not with the SAG1-specific probe, which suggests that the network is not enriched in membrane proteins. In addition to strongly labeling the vacuole membrane … 
David Bermudes|Use of preferentially replicating bacteria for the treatment of cancer|Mario Sznol, Stanley L Lin, David Bermudes, Li-mou Zheng, Ivan King|2000/4/15|The Journal of clinical investigation|105|8|1027-1030|American Society for Clinical Investigation|About 40 years ago, the observation was made that conditions within experimental animal tumors could favor the preferential replication of bacteria. 9, 10) or, in the case of metastatic models, after small lung metastases were established (11), tumor growth was inhibited in most models for prolonged periods, in some cases up to 50–60 days. Several of the models showed improved survival times, but tumors eventually resumed growth, resulting in the death of the animals. The tumor site-related and systemic toxicities reported in preclinical studies of strictly anaerobic bacteria were not observed, although after a prolonged period, some subcutaneous tumors developed a central necrotic region. 
David Bermudes|Symbiosis as a mechanism of evolution: status of cell symbiosis theory.|Lynn Margulis, D Bermudes|1985||1||101-124||Several theories for the origin of eukaryotic (nucleated) cells from prokaryotic (bacterial) ancestors have been published: the progenote, the direct filiation and the serial endosymbiotic theory (SET). Compelling evidence for two aspects of the SET is now available suggesting that both mitochondria and plastids originated by symbioses with a third type of microbe, probably a Thermoplasma-like archaebacterium ancestral to the nucleocytoplasm. We conclude that not enough information is available to negate or substantiate another SET hypothesis: that the undulipodia (cilia, eukaryotic flagella) evolved from spirochetes. Recognizing the power of symbiosis to recombine in single individual semes from widely differing partners, we develop the idea that symbiosis has been important in the origin of species and higher taxa. The abrupt origin of novel life forms through the formation of stable symbioses is consistent with certain patterns of evolution (eg punctuated equilibria) described by some paleontologists. 
David Bermudes|Tandemly repeated genes encode nucleoside triphosphate hydrolase isoforms secreted into the parasitophorous vacuole of Toxoplasma gondii.|David Bermudes, K Ran Peck, M Afifi Afifi, CJ Beckers, Keith A Joiner|1994/11/18|Journal of Biological Chemistry|269|46|29252-29260|American Society for Biochemistry and Molecular Biology|The obligate intracellular parasite Toxoplasma gondii produces a nucleoside triphosphate hydrolase (NTPase)(nucleoside-triphosphatase, EC 3.6. 1.15) activable by dithiol-containing compounds. We have isolated the genomic DNA for the NTPase from the RH strain of Toxoplasma and determined the nucleotide sequence of three tandemly arranged open reading frames termed NTP1, NTP2, and NTP3. We have also isolated and sequenced cDNAs for NTP1 and NTP3; no cDNA for NTP2 was obtained. The two cDNA clones encode proteins that are more than 97% identical at the amino acid level but significantly differ within two small domains, indicating the presence of NTPase isoforms. Both possess N-terminal signal sequences and two regions with partial homology to certain known ATP binding motifs: the glycine-rich loop common to many ATP binding proteins and the beta-phosphate binding domain found … 
David Bermudes|Modulating the therapeutic activity of nanoparticle delivered paclitaxel by manipulating the hydrophobicity of prodrug conjugates|Steven M Ansell, Sharon A Johnstone, Paul G Tardi, Lily Lo, Sherwin Xie, Yu Shu, Troy O Harasym, Natashia L Harasym, Laura Williams, David Bermudes, Barry D Liboiron, Walid Saad, Robert K Prud’homme, Lawrence D Mayer|2008/5/9|Journal of medicinal chemistry|51|11|3288-3296|American Chemical Society|A series of paclitaxel prodrugs designed for formulation in lipophilic nanoparticles are described. The hydrophobicity of paclitaxel was increased by conjugating a succession of increasingly hydrophobic lipid anchors to the drug using succinate or diglycolate cross-linkers. The prodrugs were formulated in well defined block copolymer-stabilized nanoparticles. These nanoparticles were shown to have an elimination half-life of approximately 24 h in vivo. The rate at which the prodrug was released from the nanoparticles could be controlled by adjusting the hydrophobicity of the lipid anchor, resulting in release half-lives ranging from 1 to 24 h. The diglycolate and succinate cross-linked prodrugs were 1−2 orders of magnitude less potent than paclitaxel in vitro. Nanoparticle formulations of the succinate prodrugs showed no evidence of efficacy in HT29 human colorectal tumor xenograph models. Efficacy of diglycolate … 
David Bermudes|Melanoma× macrophage hybrids with enhanced metastatic potential|Michael Rachkovsky, Stefano Sodi, Ashok Chakraborty, Yael Avissar, Jean Bolognia, Jennifer Madison McNiff, James Platt, David Bermudes, John Pawelek|1998/5/1|Clinical & experimental metastasis|16|4|299-312|Kluwer Academic Publishers|Studies were conducted on the hypothesis that melanoma metastasis might be initiated through the gener-ation of hybrids comprised of cells of the primary tumor and tumor-infiltrating leukocytes. Fusion hybrids were generated in vitro between weakly metastatic Cloudman S91 mouse melanoma cells and normal mouse or human macrophages. Hybrids were implanted s.c. in the tail and mice were monitored for metastases. Controls included parental S91 cells, autologous S91 × S91 hybrids, and B16F10 melanoma cells. Of 35 hybrids tested, most were more aggressive than the parental melanoma cells, producing metastases sooner and in more mice. A striking characteristic was heterogeneity amongst hybrids, with some lines producing no metastases and others producing metastases in up to 80% of mice. With few exceptions, hybrids with the highest metastatic potential also had the highest basal … 
David Bermudes|Positron emission tomography (PET) imaging of tumor-localized Salmonella expressing HSV1-TK|Surren A Soghomonyan, Michael Doubrovin, Jeremy Pike, Xiang Luo, Martina Ittensohn, Jacob D Runyan, Julius Balatoni, Ronald Finn, Juri Gelovani Tjuvajev, Ronald Blasberg, David Bermudes|2005/1|Cancer gene therapy|12|1|101|Nature Publishing Group|In order to noninvasively detect Salmonella delivery vectors within tumors, we used a genetically modified Salmonella, VNP20009, that expresses the herpes simplex thymidine kinase (HSV1-tk) reporter gene. VNP20009-TK were able to selectively localize within murine tumor models and to effectively sequester a radiolabeled nucleoside analogue, 2′-fluoro-1-β-D-arabino-furanosyl-5-iodo-uracil (FIAU). A quantitative relationship between the level of radioactivity accumulated and the number of bacteria in tumor and different tissues was demonstrated. The in vivo accumulation of [14 C] FIAU measured in tissue sample homogenates and sections were related to Salmonella number and to immunohistochemical bacterial staining, respectively. Quantitative autoradiography (QAR) revealed the relative intensity of [14 C] FIAU accumulation in a tumor cross-section, demonstrating that the peripheral region of the tumor … 
David Bermudes|Tumor-targeted Salmonella expressing cytosine deaminase as an anticancer agent|Ivan King, David Bermudes, Stanley Lin, Michael Belcourt, Jeremy Pike, Kimberly Troy, Trung Le, Martina Ittensohn, John Mao, Wenshang Lang, Jacob D Runyan, Xiang Luo, Zujin Li, Li-Mou Zheng|2002/7/1|Human gene therapy|13|10|1225-1233|Mary Ann Liebert, Inc.|The study was designed to evaluate whether TAPET-CD, an attenuated strain of Salmonella typhimurium expressing Escherichia coli cytosine deaminase (CD), was capable of converting nontoxic 5-fluorocytosine (5-FC) to the active antitumor agent 5-fluorouracil (5-FU). The antitumor effect of TAPET-CD plus 5-FC against subcutaneously implanted colon tumors was also evaluated. TAPET-CD was given to tumor-bearing mice by a single bolus intravenous administration followed with 5-FC by intraperitoneal administration. TAPET-CD accumulated in tumors at levels 1000-fold higher than that in normal tissues and high levels of 5-FU were detected in tumors in mice treated with both TAPET-CD and 5-FC. No 5-FU could be detected in normal tissues. Inhibition of tumor growth was observed in mice treated with either TAPET-CD alone or TAPET-CD in combination with 5-FC (TAPET-CD/5-FC … 
David Bermudes|Live bacteria as anticancer agents and tumor-selective protein delivery vectors.|David Bermudes, LM Zheng, Ivan C King|2002/3||5|2|194-199||The development of novel cancer therapies that are selective for cancer cells with limited toxicity to normal tissues is a challenge for oncology researchers. Microorganisms, such as viruses with selectivity for tumor cells or tumor micro-environments, have been investigated as potential arsenals for decades. Genetically-modified, non-pathogenic bacteria have begun to emerge as potential antitumor agents, either to provide direct tumoricidal effects or to deliver tumoricidal molecules. Attenuated Salmonella, Clostridium and Bifidobacterium are capable of multiplying selectively in tumors and inhibiting their growth, representing a new approach for cancer treatment. Because of their selectivity for tumor tissues, these bacteria would also be ideal vectors for delivering therapeutic proteins to tumors. VNP20009, an attenuated strain of Salmonella typhimurium, and its derivative, TAPET-CD, which expresses an Escherichia coli cytosine deaminase (CD), are particularly promising, and are currently undergoing phase I clinical trials in cancer patients. 
David Bermudes|Antitumor effect of VNP20009, an attenuated Salmonella, in murine tumor models|Xiang Luo, Zujin Li, Stanley Lin, Trung Le, Martina Ittensohn, David Bermudes, Jacob D Runyab, SY Shen, Jianping Chen, Ivan C King, LM Zheng|2001/11/1|Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics|12|11-12|501-508|Cognizant Communication Corporation|VNP20009, a genetically modified strain of Salmonella typhimurium with deletions in the msbB and purI loci, exhibited antitumor activities when given systemically to tumor-bearing mice. VNP20009 inhibited the growth of subcutaneously implanted B16F10 murine melanoma, and the human tumor xenografts Lox, DLD-1, A549, WiDr, HTB177, and MDA-MB-231. A single intravenous injection of VNP20009, at doses ranging from 1 × 104 to 3 × 106 cfu/mouse, produced tumor growth inhibitions of 57–95%. Tumor volume doubling time, another indicator for tumor growth inhibition, also significantly increased in mice treated with VNP20009. Using mice with immune system deficiencies, we also demonstrated that the antitumor effects of VNP20009 did not depend on the presence of T and B cells. In addition, VNP20009, given intravenously, inhibited the growth of lung metastases in mice. Only live bacteria showed the … 
David Bermudes|Tumor amplified protein expression therapy: Salmonella as a tumor-selective protein delivery vector|LM Zheng, Xiang Luo, Ming Feng, Zujin Li, Trung Le, Martina Ittensohn, Marke Trailsmith, David Bermudes, Stanley L Lin, Ivan C King|2001/3/1|Oncology Research Featuring Preclinical and Clinical Cancer Therapeutics|12|3|127-135|Cognizant Communication Corporation|Attenuated strains of Salmonella typhimurium, VNP20009 and YS7212, when injected systemically to tumor-bearing mice, accumulated preferentially in tumors at levels at least 200-fold and, more commonly, 1000-fold greater than in other normal tissues. This selectivity occurred in subcutaneously implanted murine tumors, including B16F10 melanoma, M27 lung carcinoma, and colon 38 carcinoma. The preferential accumulation was also manifested in animals bearing human tumor xenografts, including Lox, C8186, DLD1, SW620, HCT116, HTB177, DU145, MDA-MB-231, and Caki. Four to five days after a single IV injection of 1 × 106 colony-forming unit (cfu)/mouse, we routinely detected VNP20009 proliferation and accumulation at levels ranging from 1 × 108 to 2 × 109 cfu/g tumor. The amount of VNP20009 accumulated in the liver ranged from 3 × 104 to 2 × 106 cfu/g. The distribution of Salmonella in tumors … 
David Bermudes|Do prokaryotes contain microtubules?|David Bermudes, Gregory Hinkle, Lynn Margulis|1994/9/1|Microbiol. Mol. Biol. Rev.|58|3|387-400|American Society for Microbiology|In eukaryotic cells, microtubules are 24-nm-diameter tubular structures composed of a class of conserved proteins called tubulin. They are involved in numerous cell functions including ciliary motility, nerve cell elongation, pigment migration, centrosome formation, and chromosome movement. Although cytoplasmic tubules and fibers have been observed in bacteria, some with diameters similar to those of eukaryotes, no homologies to eukaryotic microtubules have been established. Certain groups of bacteria including azotobacters, cyanobacteria, enteric bacteria, and spirochetes have been frequently observed to possess microtubule-like structures, and others, including archaebacteria, have been shown to be sensitive to drugs that inhibit the polymerization of microtubules. Although little biochemical or molecular biological information is available, the differences observed among these prokaryotic structures … 
David Bermudes|Drug ratio–dependent antitumor activity of irinotecan and cisplatin combinations in vitro and in vivo|Paul G Tardi, Nancy Dos Santos, Troy O Harasym, Sharon A Johnstone, Natalia Zisman, Alan W Tsang, David G Bermudes, Lawrence D Mayer|2009/8/1|Molecular Cancer Therapeutics|8|8|2266-2275|American Association for Cancer Research|Irinotecan and cisplatin are two established anticancer drugs, which together constitute an effective combination for treating small-cell lung cancer. We investigated whether the efficacy of this combination could be improved by controlling drug ratios following in vivo administration. Irinotecan and cisplatin combinations were evaluated systematically for drug ratio–dependent synergy in vitro using a panel of 20 tumor cell lines. In vitro screening informatics on drug ratio–dependent cytotoxicity identified a consistently antagonistic region between irinotecan/cisplatin molar ratios of 1:2 to 4:1, which was bordered by two synergistic regions. Liposomal co-formulations of these two agents were developed that exhibited plasma drug half-lives of ∼6 hours and maintained a fixed drug ratio for more than 24 hours. Drug ratio–dependent antitumor activity was shown in vivo for these liposome formulations, and irinotecan … 
David Bermudes|Tumor-Targeted Salmonella|David Bermudes, Brooks Low, John Pawelek|2002||||57-63|Springer, Boston, MA|Genetically engineered Salmonella offer an intriguing new approach to selectively target solid tumors, including melanoma, lung, colon, breast, kidney and liver. These bacteria target tumors after systemic administration and selectively replicate within them. Specificity for tumors is often more than 1,000 times greater than for any other tissue. Auxotrophic mutations make these bacteria highly safe and form the basis for maintaining tumor specificity. An altered lipid greatly reduces the potential for septic shock yet also retains the antitumor properties of these bacteria. These bacteria have innate antitumor activity towards both primary and metastatic tumors and the ability to deliver proteins capable of activating chemotherapeutic agents directly within tumors. The delay in tumor growth results in mice that survive up to twice as long. These bacteria are susceptible to a wide range of antibiotics, allowing external … 
David Bermudes|Antitumour effects of genetically engineered Salmonella in combination with radiation|J Platt, S Sodi, M Kelley, S Rockwell, D Bermudes, KB Low, J Pawelek|2000/12/1|European Journal of Cancer|36|18|2397-2402|Pergamon|The antitumour efficacy of lipid A mutant Salmonella was evaluated alone and in combination with X-rays in mice bearing B16F10 or Cloudman S91 melanomas. Each treatment alone slowed tumour growth and prolonged survival, and the combined treatments produced supra-additive antitumour effects. That is, in dose–response studies with single doses of Salmonella and increasing doses of radiation, the two agents together caused suppression of tumour growth that was greater than that calculated for additivity. The results suggest that the combination of these genetically engineered Salmonella with radiotherapy could be a new and beneficial treatment for solid tumours. 
David Bermudes|Leukemia-selective uptake and cytotoxicity of CPX-351, a synergistic fixed-ratio cytarabine: daunorubicin formulation, in bone marrow xenografts|Wah-Seng Lim, Paul G Tardi, Nancy Dos Santos, Xiaowei Xie, Mannie Fan, Barry D Liboiron, Xiaoping Huang, Troy O Harasym, David Bermudes, Lawrence D Mayer|2010/9/1|Leukemia research|34|9|1214-1223|Pergamon|The objective of this study was to examine the pharmacodynamic basis for the potent preclinical and clinical anti-leukemic activity of CPX-351, a nano-scale liposome formulation of cytarabine and daunorubicin co-encapsulated at a synergistic 5:1 molar ratio. A bone marrow-engrafting CCRF-CEM leukemia model in Rag2-M mice was utilized to correlate the therapeutic and myelosuppressive properties of CPX-351 with bone marrow delivery and drug uptake in leukemia cells relative to normal bone marrow cell populations. When administered to mice bearing CCRF-CEM human leukemia xenografts, CPX-351 ablated bone marrow (BM) leukemic cells to below detectable levels for multiple weeks, whereas the free-drug cocktail only transiently suppressed leukemia growth. In contrast to the activity against leukemia cells, CPX-351 and free-drug cocktail induced similar myelosuppression in non-tumor-bearing BM … 
David Bermudes|Salmonella-based tumor-targeted cancer therapy: tumor amplified protein expression therapy (TAPET™) for diagnostic imaging|J Tjuvajev, R Blasberg, X Luo, LM Zheng, I King, D Bermudes|2001/7/6|Journal of controlled release|74|1-3|313-315|Elsevier|In preclinical studies, genetically engineered Salmonella have the ability to localize, selectively accumulate, and persist within transplantable murine tumors, spontaneous murine tumors and human tumor xenographs, and can express therapeutic proteins at high levels. These strains of engineered non-virulent Salmonella typhimurium display the capacity to accumulate and grow selectively in a variety of tumor types and to inhibit the growth of primary and metastatic tumors following intravenous injection into tumor-bearing mice. One strain of the bacteria (VNP20009) which has endogenous antitumor activity is currently in Phase I clinical trials. The bacteria are highly attenuated and genetically stable. The combination of the lipid mutation and the purine auxotrophy attenuate the virulence of the bacteria by greater than 10 000-fold and enhance the specificity of the bacteria for tumor tissue. These bacteria have … 
David Bermudes|Absorptive Trichomes in Brocchinia reducta (Bromeliaceae) and Their Evolutionary and Systematic Significance|D. Benzing, David H., Givnish, T.J. and Bermudes|1985|Systematic Botany|10|1|81-91||Brocchinia reducta, a tank-forming member of subfamily Pitcairnioideae (Bromeliaceae), possesses foliar trichomes capable of absorbing 3H-leucine as do those borne by other members of the same family (all Tillandsioideae and some species of Bromelioideae). In general, pitcairnioid trichomes have been considered incapable of participating in nutrient uptake. Other features of leaf anatomy and physiology, such as the presence of the C3 photosynthetic pathway, suggest that either 1) Brocchinia and tillandsioid tank shoots bearing absorptive hairs are a result of convergence or 2) both subfamilies acquired this feature from the same ancestor. All in all, Tillandsioideae and Pitcairnioideae share more vegetative features in common than either does with Bromelioideae and, thus, may be more closely related than was previously suspected. Tank deployment in Bromelioideae seems to have originated independently … 
David Bermudes|Extragenic Suppressors of Growth Defects inmsbB Salmonella|Sean R Murray, David Bermudes, Karim Suwwan de Felipe, K Brooks Low|2001/10/1|Journal of bacteriology|183|19|5554-5561|American Society for Microbiology Journals|Lipid A, a potent endotoxin which can cause septic shock, anchors lipopolysaccharide (LPS) into the outer leaflet of the outer membrane of gram-negative bacteria. MsbB acylates (KDO)2-(lauroyl)-lipid IV-A with myristate during lipid A biosynthesis. Reports of knockouts of the msbB gene describe effects on virulence but describe no evidence of growth defects in Escherichia coli K-12 or Salmonella. Our data confirm the general lack of growth defects in msbB E. coli K-12. In contrast, msbB Salmonella entericaserovar Typhimurium exhibits marked sensitivity to galactose-MacConkey and 6 mM EGTA media. At 37°C in Luria-Bertani (LB) broth, msbB Salmonella cells elongate, form bulges, and grow slowly.msbB Salmonella grow well on LB-no salt (LB-0) agar; however, under specific shaking conditions in LB-0 broth, manymsbB Salmonella cells lyse during exponential growth and a fraction of the cells form filaments … 
