faculty,title,authors,date,journal,volume,issue,pages,publisher,description
Hilary Silvia-Goldberg|It's a Nuisance: The Future of Fracking Litigation in the Wake of Parr v. Aruba Petroleum, Inc.|Hilary M Goldberg, Melanie Stallings Williams, Deborah Cours|2015|Va. Envtl. LJ|33||1||Hydraulic fracturing, or" fracking," is a polarizing topic, having earned both staunch advocates who see its possibilities for the domestic production of energy and ardent opponents who anticipate dire consequences resulting from its environmental impact. The practice has resulted in over one hundred lawsuits filed by private plaintiffs, none of which have gone to verdict prior to the recent jury decision in Parr v. Aruba Petroleum, Inc. 1 Because its result did not rest on a conclusion that the practice of fracking itself constituted a compensable wrong, Parr neither vindicated the oil and gas industry by exonerating it nor validated critics of fracking. Instead, the decision, based on a single cause of action of intentional private nuisance, demonstrated that juries were willing to find in favor of private plaintiffs even without a showing that fracking itself resulted in direct harm to the lives and property of those living nearby. The jury … 
Chris Bolsmann |South African football tours at the turn of the twentieth century: Amateurs, pioneers and profits|Chris Bolsmann|2010/6/1|African Historical Review|42|1|91-112|Taylor & Francis Group|Academic and popular studies of South African sport generally reveal a bias towards cricket and rugby and this perpetuates the myth that these games are the most popular in South Africa. This in turn is often viewed through the lens of ‘race’ in which the simplifications of sport along racial lines occur. This paper argues that football was more important in South Africa among all South Africans in the late 19th and early 20th century than has been previously acknowledged. It reveals that not only was the game important and popular in South Africa but its teams and administrators played a significant role in globalising the game during this period. Tours to and from South Africa were important politically, financially and for sporting reasons. Five ground breaking football tours took place during a ten year period and these serve as the basis of discussion in this paper. 
Chris Bolsmann |From Apartheid to unity: White capital and black power in the racial integration of South African football, 1976–1992|Peter Alegi, Chris Bolsmann|2010/6/1|African Historical Review|42|1|1-18|Taylor & Francis Group|This article analyses the complex process that deracialised and democratised South African football between the early 1970s and 1990s. Based mainly on archival documents, it argues that growing isolation from world sport, exemplified by South Africa's expulsion from the Olympic movement in 1970 and FIFA in 1976, and the reinvigoration of the liberation struggle with the Soweto youth uprising triggered a process of gradual desegregation in the South African professional game. While Pretoria viewed such changes as a potential bulwark against rising black militancy, white football and big business had their own reasons for eventually supporting racial integration, as seen in the founding of the National Soccer League. As negotiations for a new democratic South Africa began in earnest between the African National Congress (ANC) and the National Party (NP) in the latter half of the 1980s, transformations … 
Chris Bolsmann |Improving colorectal cancer screening: a partnership between primary care practices and the American Cancer Society|Michael B Potter, Yaser Namvargolian, Jimmy Hwang, Judith ME Walsh|2009/3/1|Journal of Cancer Education|24|1|22|Springer-Verlag|Background. The American Cancer Society (ACS) is interested in facilitating colorectal cancer screening (CRCS) in primary care. Methods. Similar clinics were assigned randomly to 1 of 3 CRCS arms: (1) usual care, (2) exam-room posters designed by the ACS; and (3) posters plus patient reminder calls from an ACS volunteer. Results. Compared to patients due for screening in Arm 1, the odds ratio for getting CRCS in Arm 2 was 1.04 (95% confidence interval [CI], 0.81–1.34), P value not significant; in Arm 3, it was 1.49 (95% CI, 1.16–1.90), P value < .001. Conclusions. Exam-room posters plus patient reminder calls from the ACS can increase CRCS in primary care. 
Chris Bolsmann |Professional Football in Apartheid South Africa: Leisure, Consumption and Identity in the National Football League, 1959–1977|Chris Bolsmann|2013/10/1|The International Journal of the History of Sport|30|16|1947-1961|Routledge|A growing body of academic and popular literature considers the history of South African football. These and existing publications pay little or no attention to the emergence of white professional football in apartheid South Africa. The National Football League (NFL) challenged the amateur game and introduced professional football to the country. During its 17-year existence, the NFL grew each season with large attendances until its demise in 1977. In addition, the NFL imported a range of international players, invited foreign teams and actively engaged in the political debates in South African sport at the time. The NFL was instrumental in popularising the game across the country for all South Africans. The NFL became the most popular sports entertainment of choice for South Africans during this period. Finally, the NFL actively engaged in a campaign of destroying rival non-racial anti-apartheid leagues while … 
Chris Bolsmann |Mexico 1968 and South Africa 2010: Sombreros and Vuvuzelas and the Legitimisation of Global Sporting Events|Chris Bolsmann|2010/3|Bulletin of Latin American Research|29||93-106|Blackwell Publishing Ltd|I aim to demonstrate in this chapter the utility of comparing Mexico’s experience in 1968 with that of South Africa’s hosting of the 2010 Fédération Internationale de Football Association (FIFA) World Cup and its precursor, the FIFA Confederations Cup staged in 2009. In large measure, South Africa’s preparations for hosting the 2010 World Cup presented similar hurdles to those confronted by Mexico 40 years earlier. What I believe this comparative approach reveals is that the two countries not only shared common experiences as a result of having to stage mega-sports-events, but that their experiences show similarities explicitly because they were viewed as somehow falling short of expectations set by the ‘Western world’. Additionally, as we shall see, the rare opportunity afforded the two states in hosting these events fostered a fundamental debate within each country concerning projection of itself and its role in the … 
Chris Bolsmann |Trade-union internationalism and solidarity in the struggle against apartheid: A Case Study of Volkswagen|Chris Bolsmann|2007/4/1|Historical Studies in Industrial Relations||23-24|103-124|Liverpool University Press|By the 1970s, the struggle against apartheid had intensified within South Africa and abroad. Eddie Webster has argued that this struggle ‘became the moral equivalent of the Spanish civil war… with democrats, liberals, communists and concerned Christians united in common abhorrence of white domination’. 1 This article focuses on the trade-union internationalism and solidarity that emerged between South African and German trade-unionists in the fight against apartheid in a major German trans-national corporation (TNC). The relationships that developed in terms of the overlapping and convergence of economic, political and institutional interests that inform actions are studied. 2 Two distinct phases are identified. First, the emergence in the latter part of the 1970s of direct shop-floor and official links between South African and German trade-unionists, informed by the economic and institutional interests of the … 
Chris Bolsmann |Globalisation, the market university and support service outsourcing in South Africa: Class struggle, convergence and difference, 1994–2001|Lucien van der Walt, Chris Bolsmann, Bernadette Johnson, Lindsey Martin|2003/7/1|Society in Transition|34|2|272-294|Taylor & Francis Group|‘Globalisation’ is all too often understood as a monolithic process that produces broadly similar outcomes in a wide range of settings. This examination of the impact of globalisation on the restructuring of public sector universities in South Africa in the 1990s demonstrates that the picture is far more complex. Over the last thirty years, globalisation has been intertwined with neoliberal capitalist economic and ideological restructuring. This is refracted, in the first instance, through State policy, and, in the second, through specific local sites of power relations and class struggles that are, in turn, structured by the resources and responses of different actors. While the neoliberal component of globalisation has played a decisive role in shaping State higher education policy in South Africa, the actual implementation of the model of the market-orientated university receiving minimal support from a deficit conscious State has … 
Chris Bolsmann |Contesting labor internationalism: The “old” trapped in the “new” in Volkswagen’s South African plant|Chris Bolsmann|2010/12|Labor Studies Journal|35|4|520-539|SAGE Publications|During the 1970s and 1980s, close linkages were established between unionists in Volkswagen’s Uitenhage plant in South Africa and Wolfsburg in Germany. The ensuing relationship resulted in trade union internationalism and solidarity with South African workers in their struggle against apartheid. After the insertion of the South African plant into the global production networks of the company, a range of new pressures and challenges confronted the union in South Africa. This resulted in the mass dismissal in 2000. In an attempt to garner international support and solidarity, the dismissed workers tapped into existing structures with no success, illustrating the reconfiguration of trade union internationalism away from worker interests to those of the unions and company. 
Chris Bolsmann |International student recruitment: South African rationales|Chris Bolsmann, Henry Miller|2008|Journal of Higher Education in Africa/Revue de l'enseignement supérieur en Afrique|6|2-3|211-231|CODESRIA|In this paper, we focus on the rationales for the recruitment of international students to universities in South Africa. Through the use of in-depth interviews with international officers at a cross-section of South African universities, we argue that there are competing and complementary rationales for the recruitment of international students. Some South African universities follow international trends in terms of international student recruitment while others adopt a different approach. The analysis locates the rationales of international student recruitment as part of an internationalisation process within the context of globalisation. 
Chris Bolsmann |Dominions Apart: Scandal and Sporting Mismatch in Australian–South African Association Football Encounters, 1947–1955|Chris Bolsmann, Nick Guoth|2012/3/1|The International Journal of the History of Sport|29|3|472-491|Routledge|South Africa, Australia and New Zealand participated in numerous sporting contests prior to World War Two. These encounters were primarily on cricket pitches and rugby fields. After nearly four decades of negotiations the first Association football matches were played between the three countries in 1947. The first tour of South Africa to Australia and New Zealand was plagued by scandals on and off the pitch, but despite this Australia returned the favour and toured South Africa three years later. Another five years would pass before South African returned to Australia, by which time it was clear that a large gulf had emerged between the two nations in terms of sporting ability and organisational efficiency. This article focuses on the three tours of 1947, 1950 and 1955, dissecting each as they occurred against a backdrop of scandal, organisational inefficiency and sporting mismatch. 
Chris Bolsmann |Globalisation and the Outsourced University in South Africa: The restructuring of the support services in public sector universities in South Africa, 1994-2001'|L Van der Walt, C Bolsmann, B Johnson, L Martin|2002|Chet Report|||||
Chris Bolsmann |“Why Play Cricket…?”: A Preliminary Analysis of Participation by Young Males|Martin Toms, Scott Fleming|1995/5/1||15|1|89-106|Taylor & Francis Group|For almost a decade there has been considerable debate and discussion about the roles and relative importance of school-based and club-based cricket in the development of elite young male cricketers;4 and state schools have often been accused of failing to provide Britain's youth with an adequate introduction to the fundamentals of the game.5 The recent Political intervention into debates about the place of team games in the schooling of young people has further fanned the flames, and in spite of the success of the England women's team, cricket is now, once again, in the spotlight. Indeed, so much so, that cricket has been identified by the Sports Council as a ‘focus sport’.6 
Chris Bolsmann |‘Here Come “Chelsea” of Sweden’: Djurgården Football Club on Tour in Apartheid South Africa|Hans Bolling, Chris Bolsmann|2013/9/1|Sport in History|33|3|353-372|Routledge|In this article we argue that while apartheid, boycotts and South African sport have received significant coverage and focus, this has primarily been restricted to Britain and former white colonies of the Commonwealth such as Australia and New Zealand. In addition, sports such as cricket and rugby receive most attention. We argue that it is useful to consider other countries and sports engaged in apartheid South Africa. We consider Swedish engagement with apartheid South Africa and focus the case study of our analysis on the tour by champions Djurgården to the country in 1955. The tourists received favourable and widespread support in South Africa and Sweden. Yet towards the end of the tour sections of the Swedish press asked critical and probing questions of the club's tour to South Africa. We contend that the tour can be viewed as naïve and apolitical and in a similar vein to the organization of Swedish sports … 
Chris Bolsmann |The Outsourced University|Lucien Van der Walt, C Bolsman, Bernadette Johnson, Lindsey Martin|1994||2001|||A survey of the rise of support service outsourcing in public sector higher education in South African and its effects on workers and trade unions|The “transformation” of the public sector universities in post-apartheid South Africa remains at the centre of government’s political commitments, policy formation processes, and public debate. 1 Yet one aspect of university restructuring has received surprisingly little attention: the trend towards the outsourcing of support service functions in the 1990s. Although the conflicts arising from this process caught the public eye on a number of occasions, most notably the controversy surrounding the restructuring of the support services at the University of the Witwatersrand in 2000, there has been no thorough study of the rise and effects of support service outsourcing in South Africa. The few studies that exist tend to be brief, sometimes journalistic, and generally confined to an examination of a single institution. By comparison, issues such as curriculum restructuring, university governance,“marketisation” and the proposed mergers and disestablishment of a number of institutions have been the subject of a great deal of public analysis, not to mention political conflict. 2 This paper provides an overview of the process of support service outsourcing across the public sector universities, and examines the effects of this process on workers and their trade unions. Our focus is on the period 1994 to 2001. By support services, we refer, in particular, to those manual and menial campus occupations that do not contribute directly towards knowledge production but which are, nonetheless, essential to the functioning of the universities. These occupations include catering, cleaning, grounds and building maintenance, security services and transport. The paper situates this … 
Chris Bolsmann |Taking South African sport seriously|Chris Bolsmann, Cora Burnett|2015/1/2||46|1|1-6|Routledge|Twenty years on, the image of Nelson Mandela, wearing the number six jersey of the white Springbok captain, Francois Pienaar, remains a poignant moment in South African and global sport. The 1995 Rugby World Cup victory by the overwhelmingly all-white Springboks remains a powerful symbol in post-apartheid South Africa. Clint Eastwood’s (2009) Hollywood film, Invictus, based on John Carlin’s Playing the enemy: Nelson Mandela and the game that made a nation (2008), has dramatised the significance of Mandela wearing the jersey and the South African victory. The formerly exclusive symbol was seemingly appropriated and made socially inclusive and became part of the lexicon and rhetoric of nation building post-1994. For Ashwin Desai (2010: 1), rugby had become ‘the sport that would help to catalyse the building of a “rainbow nation” predicated on a common identity, a common sense of “South … 
Chris Bolsmann |A copa do mundo Fifa na África do Sul/2010–como foi a experiência e o que podemos aprender com ela?|Wanderley Marchi Júnior, Chris Bolsmann, Bárbara Schausteck de Almeida, Juliano de Souza|2014|Movimento|20|2||Escola de Educação Física|In this essay, we intend to discuss some social logics not explicit that articulate the domain of the FIFA World Cup. Therefore, the 2010 edition of this event is used as analytical approach to reveal some of the rhetoric and strategic actions that permeated the context of its realization. Based on data obtained in the academic literature and media, we present that the motivations for the event were based on developmental discourses by both FIFA as well as local elites South African aiming to convince different social groups and conquer their support. However, the consequences are not necessarily those promised, and these institutions were the real benefciaries in their economic and political mutual interests. At this point, we argue that Brazilian society can and should learn from the experience of South Africa to assess critically the motives less apparent to host such events. Key-words: Mega-events. Football. FIFA World Cup. South Africa 2010. 728 E nsaios Wanderley Marchi Júnior et al. , Porto Alegre, v. 20, n. 2, p. 711-733, abr./jun. de 2014. El Mundial FIFA Sudáfrica 2010:¿ Cómo fue la experiencia y qué es posible aprender con ella? Resumen: En este ensayo se pretende discutir algunas lógicas sociales no explícitas que se articulan en el ámbito de la realización del Mundial de la FIFA. Por lo tanto, nos centramos como enfoque analítico la edición de 2010 de este evento, para revelar algunas de las retóricas y acciones estratégicas que impregnaran el contexto de su preparación en Sudáfrica. Con base en los datos obtenidos en la literatura académica y los medios de comunicación, se presenta como motivaciones para el evento se presentaban los discursos … 
Chris Bolsmann |South Africa and the Global Game: Football, Apartheid and Beyond|Chris Bolsmann, Peter Alegi|2010|||||Routledge|
Chris Bolsmann |Solidarity and Identity: Volkswagen Workers in South Africa and Germany|Chris Bolsmann|2006|Globalisation and new identities: A view from the middle|||137-55|Jacana Media|THE FOCUS OF this chapter is on worker identity within a trans-national corporation (TNC). This is related to international trade union solidarity, within Volkswagen AG'(VWAG). The connections between identity and solidarity are complex and the two ideas cannot be regarded as synonymous; rather they influence each other during two different periods under consideration. The chapter traces the 20 year relationship and solidarity displayed between the two trade unions organising in Germany and South Africa respectively, namely IG MetalP and the National Union of Metalworkers of South Africa (NUMSA). The first contact was initiated in the late 1970s and the ensuing links have developed over the last two decades. The central claim of this chapter is that two broad overlapping periods of interaction can be identified. The nature of these relations affects the forms of solidarity displayed by participants and the manner in which they relate to and interact with one another in terms of trade union internationalism. In the first section of this chapter, the analytical framework for understanding solidarity is explored. Solidarity is understood as action that benefits Volkswagen of South Africa (VWSA) employees and trade unionists and broader activity against the apartheid state. This is interpreted against the backdrop of a specific form of trade union internationalism during apartheid. In the second section, specific themes related to the above periods which emerged from semi structured in- 
Chris Bolsmann |White football in South Africa: empire, apartheid and change, 1892—1977|Chris Bolsmann|2013/10/18|South Africa and the Global Game: Football, Apartheid and Beyond|||29|Routledge|This essay traces the development, domination and decline of white football in South Africa. It suggests that white football was more signiﬁcant and popular than generally acknowledged and was at the forefront of globalizing football in the early twentieth century. In order to better understand the broader history of twentieth-century South African football, a more detailed examination of the organized white game at the national and international levels is necessary. This historical analysis of elite white football draws from the archives of the Football Association of South Africa. The analysis underscores the important role of white football authorities in the contestation of power and identity in the game in South Africa and abroad. In the ﬁrst period under consideration (1892—19405), local football authorities challenged the dominant sports within South Africa. This period was followed in the 1950s by the challenges of professionalism and antiapartheid organizations. In the ﬁnal phase (1967—77), ofﬁcials experimented with football on ‘multi-national’and multi-racial lines—a failed reform that led to the demise of white football. This essay traces the development, domination and decline of organized white football in South Africa. 1 It suggests that white football was more signiﬁcant and popular than generally acknowledged. In order to better understand the broader history of twentieth-century South African football, a more detailed examination of the organized white game at the national and international levels is necessary. 2 The objective of this analysis is to highlight three main periods of elite white football and reveal a number of contradictions along … 
Chris Bolsmann |To Sing or Not to Sing? National Anthems, Football Obsessions and Bafana Bafana's World Cup|Chris Bolsmann|2013|Africa's Soccer World Cup: Critical Reflections on Play, Patriotism, Spectatorship, and Space, eds. Chris Bolsmann and Peter Alegi (Ann Arbor: University of Michigan Press, 2013)|||109-118||
